Kanji,Reading,Definition,Sentence,Translation,tags
年度,ねんど,"fiscal year, school year",売り上げは年度によって違います。,Sales differ by fiscal year.,640-649 Noun
今度,こんど,"this time, next time",今度はどこに行きたいですか。,Where do you want to go this time?,640-649 Noun
ガラス,ガラス,glass,クリスタルガラスの花瓶を買いました。,I bought a crystal glass vase.,640-649 Noun
何度,なんど,how many times,あの店には何度も行きました。,I've been to that shop many times.,640-649 Noun
最近,さいきん,recently,それは最近話題の本ですね。,That's the book that people have been talking about lately.,640-649 Noun
遠く,とおく,great distance,遠くに船が見えます。,I can see a ship in the distance.,640-649 Adverb
社長,しゃちょう,president (of a company),おばは小さな会社の社長です。,My aunt is the president of a small firm.,650-659 Noun
コース,コース,"course, route",私は日本語コースを取っています。,I'm taking a Japanese course.,650-659 Noun
会長,かいちょう,"president, chairperson",初めに会長が挨拶した。,First was the chairman's greetings.,650-659 Noun
長さ,ながさ,length,このケーブルの長さは1メートルです。,The length of this cable is one meter.,650-659 Noun
長男,ちょうなん,eldest son,彼の長男は8才です。,His oldest son is eight years old.,650-659 Noun
長女,ちょうじょ,eldest daughter,うちの長女は10歳です。,Our oldest daughter is ten.,650-659 Noun
アパート,アパート,"apartment, flat, apartment house",彼はアパートに住んでいます。,He lives in an apartment.,650-659 Noun
広がる,ひろがる,"spread out, reach",留学してから私の世界が広がった。,My world expanded after studying abroad.,650-659 Verb
広さ,ひろさ,"area, extent",その家の広さはどれ位ですか。,How big is that house?,650-659 Noun
全体,ぜんたい,"whole, total",全体の80パーセントが完成しました。,80 percent of the total was completed.,650-659 Noun
全く,まったく,"entirely, truly, indeed",私には全く分かりません。,I don't understand at all.,660-669 Adverb
レコード,レコード,record,ジャズのレコードをかけました。,I put on a jazz record.,660-669 Noun
安全,あんぜん,"safety, security",安全が第一です。,Safety comes first.,660-669 Adjectival Noun
一部,いちぶ,one part,計画を一部変更しましょう。,Let's change part of the plan.,660-669 Noun
部分,ぶぶん,"part, section",この部分は問題ないです。,There's no problem with this part.,660-669 Noun
国内,こくない,"domestic, internal",この携帯電話が使えるのは国内だけです。,You can only use this mobile phone domestically.,660-669 Noun
どんどん,どんどん,knock,ドアをどんどんとたたいた。,I banged on the door.,660-669 Adverb
全国,ぜんこく,the whole country,次は全国のお天気です。,And now for the nation's weather.,660-669 Noun
外国,がいこく,foreign country,母はまだ外国に行ったことがありません。,My mother hasn't been abroad yet.,660-669 Noun
国会,こっかい,"National Diet, parliament",国会が再開した。,The Diet reconvened.,660-669 Noun
帰国,きこく,return to one's country,彼は帰国しました。,He returned to his country.,670-679 Verbal Noun
カメラ,カメラ,camera,カメラが壊れた。,The camera broke.,670-679 Noun
外国人,がいこくじん,foreigner,日本に住む外国人が増えています。,The number of foreigners living in Japan is increasing.,670-679 Noun
外国語,がいこくご,foreign language,外国語を習うのは難しい。,Learning foreign languages is hard.,670-679 Noun
世界,せかい,world,私は世界旅行をしたい。,I want to travel around the world.,670-679 Noun
白,しろ,white,白は雪の色です。,White is the color of snow.,670-679 Noun
テープ,テープ,"tape, cassette",彼女はその会話をテープに録音した。,She recorded the conversation on tape.,670-679 Noun
黒い,くろい,"black, dark",彼女は黒いドレスを着ています。,She's wearing a black dress.,670-679 Adjective
黒,くろ,black,黒のボールペンはありますか。,Do you have a black pen?,670-679 Noun
赤ちゃん,あかちゃん,baby,ベッドで赤ちゃんが眠っています。,The baby's sleeping in the bed.,670-679 Noun
赤,あか,"red, crimson",信号が赤に変わりました。,The traffic light changed to red.,680-689 Noun
ビール,ビール,"beer, lager",夏はビールがとても美味しい。,Beer tastes really good in summer.,680-689 Noun
銀行,ぎんこう,bank,銀行は3時まで開いています。,The bank is open until three o'clock.,680-689 Noun
銀,ぎん,silver,彼は銀メダルを取った。,He got the silver medal.,680-689 Noun
地下鉄,ちかてつ,subway,私は地下鉄で通勤しています。,I commute to work by subway.,680-689 Noun
牛肉,ぎゅうにく,beef,夕食に牛肉を買った。,I bought beef for dinner.,680-689 Noun
ページ,ページ,page,32ページを開いてください。,Please open to page 32.,680-689 Noun
肉,にく,"flesh, meat",肉が焼けました。,The meat is cooked.,680-689 Noun
魚,さかな,fish,肉と魚とどちらが好きですか。,"Which do you prefer, meat or fish?",680-689 Noun
分野,ぶんや,"field, sphere",音楽は彼の得意な分野です。,Music is his field of specialty.,680-689 Noun
野菜,やさい,vegetable,私は毎日たくさん野菜を食べます。,I eat a lot of vegetables every day.,690-699 Noun
グラフ,グラフ,"chart, graph",彼は売上をグラフにした。,He made a chart of the sales figures.,690-699 Noun
本屋,ほんや,"bookstore, bookseller",駅前に本屋があります。,There's a bookstore in front of the station.,690-699 Noun
八百屋,やおや,"vegetable store, greengrocer",八百屋でみかんを買いました。,I bought a tangerine at the grocery store.,690-699 Noun
そば屋,そばや,soba restaurant,昼はそば屋に行きました。,I went to a noodle shop for lunch.,690-699 Noun
たばこ屋,たばこや,"cigarette shop, tobacco store",私はたばこ屋でライターを買った。,I bought a lighter from the cigarette shop.,690-699 Noun
ポスト,ポスト,"post box, letter box",手紙をポストに入れました。,I put the letter in the mailbox.,690-699 Noun
茶,ちゃ,tea (plain form),私たちは毎日お茶を飲みます。,We drink tea every day.,690-699 Noun
お茶,おちゃ,tea (polite),お茶を入れましょうか。,Shall I make tea?,690-699 Noun
茶わん,ちゃわん,"tea cup, rice bowl",茶わんにご飯をよそいました。,I put some rice into the rice bowl.,690-699 Noun
味,あじ,"taste, flavor",この料理は味が薄い。,This food is tasteless.,700-709 Noun
テスト,テスト,"test, exam",テストを始めてください。,Please start the test.,700-709 Verbal Noun
未来,みらい,future,未来は誰にも分からない。,Nobody knows the future.,700-709 Noun
週末,しゅうまつ,weekend,週末は家でゆっくりします。,On the weekend I relax at home.,700-709 Noun
料理,りょうり,"cooking, dealing with something",母は料理が得意です。,My mother is good at cooking.,700-709 Verbal Noun
無理,むり,"unreasonable, impossible, forced",5時までに家に帰るのは無理です。,I can't possibly get home by five o'clock.,700-709 Adjectival Noun
あちこち,あちこち,all over,私たちは朝からあちこち散歩しました。,We strolled about here and there from the morning.,700-709 Noun
無くす,なくす,"lose, get rid of",今日、鍵を無くしました。,I lost my key today.,700-709 Verb
無くなる,なくなる,"disappear, run short, get lost",もうお金が無くなりました。,I've run out of money already.,700-709 Verb
作文,さくぶん,"composition, essay",日本語で作文を書きました。,I wrote an essay in Japanese.,700-709 Noun
用いる,もちいる,"use, make use of",彼はその詩を用いて自分の気持ちを伝えた。,He conveyed his feelings through poetry.,710-719 Verb
ゴルフ,ゴルフ,golf,兄はゴルフを始めました。,My older brother started playing golf.,710-719 Noun
用事,ようじ,"things to do, errand",父は用事で出掛けています。,My father is out running errands.,710-719 Noun
交通費,こうつうひ,"traveling expense, transportation cost","会社までの交通費は一ヶ月8,000円です。","Transportation to the company costs 8,000 yen a month.",710-719 Noun
消える,きえる,"to go out (lights), to disappear",突然、電気が消えた。,Suddenly the electricity went out.,710-719 Verb
消しゴム,けしごむ,eraser,消しゴムを貸して下さい。,Please lend me your eraser.,710-719 Noun
ラジオ,ラジオ,radio,彼女はラジオを聞いています。,She's listening to the radio.,710-719 Noun
売れる,うれる,"sell, be in demand",今年の夏はクーラーがよく売れた。,Air conditioners sold well this summer.,710-719 Verb
売り場,うりば,"sales floor, department",くつ売り場はどこですか。,Where is the shoe department?,710-719 Noun
店員,てんいん,"clerk, salesperson",あの店員はとても親切です。,That shop clerk is very kind.,710-719 Noun
売店,ばいてん,"booth, shop",駅の売店で雑誌を買った。,I bought a magazine at a shop in the station.,720-729 Noun
タクシー,タクシー,"taxi, cab",タクシーを呼んでください。,Please call a taxi.,720-729 Noun
商品,しょうひん,"goods, commodities",この商品はよく売れている。,This product is selling well.,720-729 Noun
作品,さくひん,"work of art, piece",この絵はゴッホの作品だ。,This painting is one of van Gogh's works.,720-729 Noun
販売,はんばい,"sale, selling",前売券は窓口で販売しています。,Advance tickets are being sold at the ticket window.,720-729 Verbal Noun
二階,にかい,"second floor, upstairs",兄は二階にいます。,My elder brother is on the second floor.,720-729 Noun
ゆっくり,ゆっくり,slowly,もっとゆっくり話してください。,Please speak more slowly.,720-729 Adverb
段階,だんかい,stage,この段階では、決断するのはまだ早い。,"At this stage, it is still early to decide.",720-729 Noun
階段,かいだん,"steps, flight of stairs",私たちは駅の階段をかけ上がった。,We ran up the station steps.,720-729 Noun
段々,だんだん,"gradually, by degrees",段々仕事が楽しくなってきました。,My work has gradually become more enjoyable.,720-729 Adverb
値段,ねだん,price,このベルトの値段は2500円でした。,"The price of this belt was 2,500 yen.",730-739 Noun
レストラン,レストラン,restaurant,レストランでインド料理を食べました。,I ate Indian food at the restaurant.,730-739 Noun
価格,かかく,"price, cost",ガソリンの価格がどんどん上がっている。,The price of gasoline keeps going up fast.,730-739 Noun
合格,ごうかく,"passing an examination, eligibility",娘が入学試験に合格しました。,My daughter passed the university entrance exam.,730-739 Verbal Noun
夏休み,なつやすみ,summer vacation,今日が夏休み最後の日だ。,Today's the last day of summer vacation.,730-739 Noun
冬休み,ふゆやすみ,winter vacation,冬休みにお祖父ちゃんの家に行きます。,I'm going to grandpa's house during winter break.,730-739 Noun
カード,カード,"card, credit card",支払いはカードでお願いします。,Please pay by card.,730-739 Noun
四季,しき,the four seasons,日本には四季がある。,We have four seasons in Japan.,730-739 Noun
暑さ,あつさ,"heat, summer heat",今年の夏は暑さが厳しい。,The heat this summer is overbearing.,730-739 Noun
熱,ねつ,"heat, fever",昨日の夜、熱が出ました。,I had a fever last night.,730-739 Noun
寒さ,さむさ,"coldness, cold",今日は厳しい寒さになるでしょう。,It will probably be extremely cold today.,740-749 Noun
アルバイト,アルバイト,"casual job, student job, part-time job",兄はアルバイトをしています。,My big brother works part-time.,740-749 Verbal Noun
暖める,あたためる,"warm, warm up, heat up",今、車を暖めています。,I'm warming up the car now.,740-749 Verb
暖まる,あたたまる,get warm,まだ部屋が暖まらない。,The room hasn't warmed up yet.,740-749 Verb
温度,おんど,temperature,今、部屋の温度は25度だ。,This room's temperature is currently 25 degrees.,740-749 Noun
気温,きおん,temperature,今日の気温は26度です。,Today's temperature is 26 degrees.,740-749 Noun
コピー,コピー,"copy, photocopy",会議で書類のコピーを配った。,I handed out copies of the document at the meeting.,740-749 Verbal Noun
台,だい,"stand, platform",そこにちょうど良い台がある。,There's a table that's just right.,740-749 Noun
風,かぜ,wind,今日は風が強いです。,The wind is strong today.,740-749 Noun
台風,たいふう,typhoon,台風が近づいている。,The typhoon's getting closer.,740-749 Noun
事情,じじょう,"circumstances, conditions",あなたの事情はよく分かりました。,I understand your situation well.,750-759 Noun
ぶつかる,ぶつかる,"hit, bump into",車が電柱にぶつかった。,The car crashed into the telephone pole.,750-759 Verb
情報,じょうほう,information,学生たちはインターネットでいろいろな情報を集めた。,The students gathered all kinds of information on the Internet.,750-759 Noun
報告,ほうこく,report,昨日の会議について報告があります。,There's a report about yesterday's conference.,750-759 Verbal Noun
新聞,しんぶん,newspaper,今日の新聞、どこに置いた?,Where did you put today's newspaper?,750-759 Noun
新年,しんねん,New Year,新年明けましておめでとうございます。,Happy new year.,750-759 Noun
フィルム,フィルム,film,旅行のためにたくさんフィルムを買った。,I bought a lot of film for the trip.,750-759 Noun
良い,よい,"good, suitable, preferable",彼は良いところだけを強調した。,He only emphasized the strong points.,750-759 Adjective
中心,ちゅうしん,"center, middle",ここが建物の中心です。,This is the center of the building.,750-759 Noun
安心,あんしん,"peace of mind, relief",それを聞いて安心しました。,I was relieved to hear that.,750-759 Verbal Noun
思い出す,おもいだす,"recollect, recall",大切な用事を思い出しました。,I just remembered something important I need to take care of.,760-769 Verb
デパート,デパート,"department store, department",私はデパートで靴を買った。,I bought shoes at the department store.,760-769 Noun
思い出,おもいで,"recollections, memory",旅行で楽しい思い出ができました。,I made wonderful memories during my trip.,760-769 Noun
考え,かんがえ,"thought, view, idea",それは良い考えです。,That's a good idea.,760-769 Noun
解決,かいけつ,"solution, settlement",トラブルがやっと解決した。,The problem has finally been solved.,760-769 Verbal Noun
知らせる,しらせる,"let know, inform",皆に会議の日にちを知らせた。,I informed everyone of the day of the meeting.,760-769 Verb
ベッド,ベッド,bed,彼はベッドで寝ています。,He's sleeping in the bed.,760-769 Noun
能力,のうりょく,"ability, capacity",彼は能力のある社員です。,He's a resourceful employee.,760-769 Noun
可能,かのう,"possible, potential",20キロのダイエットは可能だと思いますか。,Do you think it's possible to go on a twenty kilogram diet?,760-769 Adjectival Noun
可,か,"permitted, OK",このアルバイトは「学生可」ですね。,"So, students can apply for this part-time job, right?",760-769 Noun
郵便,ゆうびん,"mail service, mail",さっき郵便が届きました。,The mail has just arrived.,770-779 Noun
コート,コート,"coat, jacket",寒かったのでコートを着た。,I put on a coat because it was cold.,770-779 Noun
不便,ふべん,inconvenient,私の家は駅から遠くて不便です。,My house is inconveniently located far from the station.,770-779 Adjectival Noun
郵便屋さん,ゆうびんやさん,mailman,郵便屋さんはもう来ましたか。,Has the postman already come?,770-779 Noun
郵便局,ゆうびんきょく,post office,郵便局で切手を買いました。,I bought a stamp at the post office.,770-779 Noun
交番,こうばん,police box,あそこの交番で道を聞きましょう。,Let's ask for directions at that police box.,770-779 Noun
ノート,ノート,"note book, laptop",ノートを開いてください。,Please open your notebook.,770-779 Noun
番地,ばんち,"house number, address",その建物の番地は分かりますか。,Do you know the building's house number?,770-779 Noun
番号,ばんごう,"number, series of digits",この番号に電話してください。,Please call this number.,770-779 Noun
場所,ばしょ,"place, space",会社の場所を教えてください。,Please tell me where the office is.,770-779 Noun
近所,きんじょ,neighborhood,近所にカナダ人が住んでいる。,A Canadian lives in my neighborhood.,780-789 Noun
ワイン,ワイン,wine,ワインを少し飲みました。,I drank a little wine.,780-789 Noun
台所,だいどころ,kitchen,お母さんは台所にいます。,Mother's in the kitchen.,780-789 Noun
住所,じゅうしょ,"one's dwelling, address",この住所に行ってください。,Please go to this address.,780-789 Noun
便所,べんじょ,bathroom,便所はそこです。,The bathroom is there.,780-789 Noun
有名,ゆうめい,famous,ボルドーはワインの生産で有名だ。,Bordeau is famous for wine production.,780-789 Adjectival Noun
おかしい,おかしい,"strange, funny, suspicious",彼の様子がおかしい。,He's acting strange.,780-789 Adjective
名字,みょうじ,surname,あなたの名字は何ですか。,What's your surname?,780-789 Noun
氏名,しめい,full name,ここに住所と氏名を書いてください。,Please write your name and address here.,780-789 Noun
各国,かっこく,each country,各国の代表がニューヨークに集まった。,Each country's representatives assembled in New York.,780-789 Noun
町,まち,"town, neighborhood",あの町は緑を増やしています。,That town is increasing its greenery.,790-799 Noun
トイレ,トイレ,toilet,トイレを掃除しましたか。,Did you clean the toilet?,790-799 Noun
都市,とし,city,東京は日本一大きな都市です。,Tokyo is the largest city in Japan.,790-799 Noun
都合,つごう,circumstances,今日は都合が悪くて行けません。,I can't go today because it's not convenient for me.,790-799 Noun
朝御飯,あさごはん,breakfast,七時に朝御飯を食べました。,I ate breakfast at seven o'clock.,790-799 Noun
買い物,かいもの,"shopping, purchase",母は買い物に出かけています。,My mother's gone shopping.,790-799 Verbal Noun
キャンプ,キャンプ,"camping, camp",友達とキャンプに行った。,I went camping with a friend.,790-799 Verbal Noun
荷物,にもつ,"baggage, package",彼の家に荷物を送りました。,I sent a package to his house.,790-799 Noun
品物,しなもの,"goods, thing",その店は色々な品物を売っている。,The shop sells a lot of products.,790-799 Noun
見物,けんぶつ,sightseeing,皆で東京見物をした。,We all went sightseeing in Tokyo.,790-799 Verbal Noun
物,もの,"thing, object",彼女の家には物がたくさんあります。,There are a lot of things in her house.,800-809 Noun
プラスチック,プラスチック,plastic,このカップはプラスチックです。,This cup is plastic.,800-809 Noun
忘れ物,わすれもの,"something left behind, lost item",学校に忘れ物をしました。,I left something behind at school.,800-809 Noun
重さ,おもさ,weight,この荷物の重さを計ってください。,Please weigh this luggage.,800-809 Noun
配る,くばる,distribute,会議で書類を配った。,I handed out the document at the meeting.,800-809 Verb
配達,はいたつ,delivery,彼は新聞配達をしている。,He's delivering newspapers.,800-809 Verbal Noun
カラー,カラー,color,カラーコピーは一枚幾らですか。,How much is one color copy?,800-809 Noun
心配,しんぱい,"worry, anxiety",明日のプレゼンテーションが心配だ。,I'm worried about tomorrow's presentation.,800-809 Verbal Noun
見送る,みおくる,see (someone) off,彼が外国に行くのを見送りました。,I saw him off on his trip overseas.,800-809 Verb
見送り,みおくり,seeing someone off,駅に友人の見送りに行きました。,I went to the station to see off a friend.,800-809 Verbal Noun
受ける,うける,"receive, accept",彼は就職試験を受けた。,He took an exam to apply for a job.,810-819 Verb
ピアノ,ピアノ,piano,昔、ピアノを習っていました。,I used to learn the piano.,810-819 Noun
受け取る,うけとる,"receive, understand",彼からメールを受け取りました。,I got an email from him.,810-819 Verb
取れる,とれる,"come off, be removed",シャツのボタンが取れた。,My shirt button came off.,810-819 Verb
書き取る,かきとる,"write down, take notes",話しのポイントを書き取った。,I wrote down the main points of what was said.,810-819 Verb
届く,とどく,"to reach, to arrive",昨日、父から手紙が届いた。,I got a letter from my father yesterday.,810-819 Verb
スキー,スキー,"ski, skiing",冬はよくスキーに行きます。,We go skiing a lot in winter.,810-819 Noun
届ける,とどける,"deliver, give notice",これを彼に届けてください。,Please send this to him.,810-819 Verb
持つ,もつ,"maintain, last long",この車はよく持っているね。,This car has lasted a long time.,810-819 Verb
金持ち,かねもち,wealthy person,彼は金持ちです。,He's rich.,810-819 Noun
持って行く,もっていく,take,水を持って行きましょう。,Let's take some water with us.,820-829 Verb
なかなか,なかなか,"not at all (with negative verb), hardly",荷物がなかなか届きません。,The parcel still hasn't arrived.,820-829 Adverb
持って来る,もってくる,bring,そのいすを持って来てください。,Please bring that chair.,820-829 Verb
打つ,うつ,"hit, strike",転んでひざを打ちました。,I fell down and hit my knee.,820-829 Verb
投げる,なげる,"throw, abandon",ボールをこっちに投げてください。,Please throw the ball over here.,820-829 Verb
生まれる,うまれる,be born,姉夫婦に男の子が生まれました。,My sister and her husband had a baby boy.,820-829 Verb
プール,プール,pool,私は夏休みにプールに行った。,I went to the pool during summer vacation.,820-829 Noun
生む,うむ,have children,うちのネコが子猫を生みました。,Our cat had kittens.,820-829 Verb
女性,じょせい,"woman, female",そのパーティーに女性は何人来ますか。,How many women are coming to that party?,820-829 Noun
生産,せいさん,production,ボルドーはワインの生産で有名だ。,Bordeau is famous for wine production.,820-829 Verbal Noun
お土産,おみやげ,souvenir,父はお土産にお菓子を買ってきた。,My father bought some sweets as a souvenir.,830-839 Noun
ホーム,ホーム,platform,もうすぐこのホームに電車が来ます。,The train will arrive on this platform soon.,830-839 Noun
生活,せいかつ,living; life (one's daily existence),日本での生活は楽しいです。,Life in Japan is fun.,830-839 Verbal Noun
生徒,せいと,"pupil, student",このクラスの生徒は30人です。,There are 30 students in this class.,830-839 Noun
中学,ちゅうがく,junior high school,息子は中学に通っています。,My son goes to junior high.,830-839 Noun
入学,にゅうがく,"enter a school, matriculate",妹は九月にアメリカの大学に入学します。,My little sister's entering college in the United States in September.,830-839 Verbal Noun
エレベーター,エレベーター,elevator,エレベーターで下に降りましょう。,Let's take the elevator down.,830-839 Noun
中学生,ちゅうがくせい,junior high school student,息子は中学生です。,My son is a junior high school student.,830-839 Noun
小学生,しょうがくせい,elementary school student,うちの息子は来年、小学生になります。,Our son will start primary school next year.,830-839 Noun
見学,けんがく,"inspection, field trip",今日、工場の見学に行きました。,We went on a field trip to a factory today.,830-839 Verbal Noun
通学,つうがく,school commute,毎朝、通学に1時間かかる。,It takes me an hour to go to school every morning.,840-849 Verbal Noun
メモ,メモ,"memorandum, memo pad",メモを取ってください。,Please take notes.,840-849 Noun
高校,こうこう,high school,妹は高校に通っています。,My little sister goes to high school.,840-849 Noun
小学校,しょうがっこう,elementary school,家の近くに小学校があります。,There's an elementary school near my house.,840-849 Noun
中学校,ちゅうがっこう,junior high school,息子の中学校は家から5分です。,My son's junior high is five minutes from our house.,840-849 Noun
校長,こうちょう,"principal, schoolmaster",あの人は高校の校長だ。,That person is a high school principal.,840-849 Noun
パン,パン,bread,朝ご飯にはいつもパンを食べる。,I always eat bread for breakfast.,840-849 Noun
休校,きゅうこう,temporary closure of school,学校は今週は休校です。,School is closed this week.,840-849 Verbal Noun
教会,きょうかい,church,私たちは教会で結婚式をしました。,We had our wedding in a church.,840-849 Noun
教育,きょういく,education,彼は海外で教育を受けました。,He received his education abroad.,840-849 Verbal Noun
育てる,そだてる,bring up,彼女は三人の子を育てました。,She raised three children.,850-859 Verb
びっくりする,びっくりする,to be surprised,大きな音にびっくりしました。,I was startled by a sudden sound.,850-859 Verb
育つ,そだつ,"be brought up, grow",野菜がよく育っている。,The vegetables are growing well.,850-859 Verb
制度,せいど,"system, organization",来年から新しい制度が始まります。,A new system will start from next year.,850-859 Noun
強さ,つよさ,"strength, power",風の強さに驚きました。,I was surprised by the strength of the wind.,850-859 Noun
取引,とりひき,"transaction, dealings",私たちは中国の会社と取引しています。,We're dealing with a Chinese company.,850-859 Verbal Noun
ズボン,ズボン,"trousers, pants",ズボンが汚れた。,My trousers got dirty.,850-859 Noun
引き出し,ひきだし,"drawer, withdrawal",財布は引き出しの中にあります。,My purse is in the drawer.,850-859 Noun
押さえる,おさえる,hold down,ドアを押さえてください。,Please hold the door.,850-859 Verb
押し入れ,おしいれ,closet,布団を押し入れにしまいました。,I put my futon in the closet.,850-859 Noun
練習,れんしゅう,"practice, training",娘は今、バイオリンを練習しています。,My daughter is practicing the violin now.,860-869 Verbal Noun
おもちゃ,おもちゃ,"toy, plaything",赤ちゃんが自動車のおもちゃで遊んでいる。,The baby's playing with the toy car.,860-869 Noun
習う,ならう,"learn, study",彼は空手を習っています。,He's learning karate.,860-869 Verb
慣れる,なれる,grow accustomed to,新しい家にはもう慣れましたか。,Have you gotten used to the new house yet?,860-869 Verb
習慣,しゅうかん,"custom, habit",毎朝コーヒーを飲むのが習慣です。,I'm in the habit of drinking coffee every morning.,860-869 None
研究,けんきゅう,"research, study",彼は何年も地震の研究をしている。,He's been researching earthquakes for many years.,860-869 Verbal Noun
グラム,グラム,gram,ひき肉を200グラムください。,"Please give me 200 grams of ground (beef, chicken, etc.)",860-869 Noun
試験,しけん,"test, examination",明日の試験、頑張ってね。,Good luck on tomorrow's exam.,860-869 Verbal Noun
問題,もんだい,"problem, question",問題が一つあります。,There's one problem.,860-869 Noun
簡単,かんたん,"simple, easy",この料理はとても簡単です。,This dish is very easy to make.,860-869 Adjectival Noun
複雑,ふくざつ,"complicated, intricate",このプログラムはとても複雑です。,This program is very complicated.,870-879 Adjectival Noun
コーヒー,コーヒー,coffee,私は毎朝コーヒーを飲みます。,I drink coffee every morning.,870-879 Noun
数字,すうじ,"figure, numeral",数字は苦手です。,I'm not good with numbers.,870-879 Noun
数学,すうがく,mathematics,兄は数学の先生です。,My big brother's a math teacher.,870-879 Noun
数える,かぞえる,"count, calculate",いすの数を数えてください。,Please count the number of chairs.,870-879 Verb
今回,こんかい,this time,まあ今回は許してあげよう。,"Well, I'll let you off this time.",870-879 Noun
テント,テント,tent,みんなでテントを張りました。,We all put up the tent together.,870-879 Noun
回る,まわる,"to turn, to revolve",月は地球のまわりを回っています。,The moon spins around the earth.,870-879 Verb
回す,まわす,"turn, rotate",ねじは左に回すと外れます。,If you turn the screw to the left it will come undone.,870-879 Verb
個人,こじん,individual,これは私個人の意見です。,This is my personal opinion.,870-879 Noun
担当,たんとう,person in charge,私はセールスを担当しています。,I'm in charge of sales.,880-889 Verbal Noun
ボート,ボート,boat,池でボートに乗りました。,I got on the boat at the pond.,880-889 Noun
当たる,あたる,"hit, strike",ボールが彼の頭に当たった。,The ball hit him on the head.,880-889 Verb
当時,とうじ,at that time,彼女は当時、まだ3才だった。,She was only three years old at the time.,880-889 Noun
本当,ほんとう,"truth, reality",その話は本当ですか。,Is the story true?,880-889 Noun
当然,とうぜん,"natural, as a matter of course",彼女が怒るのも当然だ。,It's natural that she should be angry.,880-889 Adjectival Noun
ボール,ボール,ball,彼はボールを投げた。,He threw the ball.,880-889 Noun
全然,ぜんぜん,"wholly, (not) at all (with negative verb)",この本は全然面白くなかった。,This book wasn't interesting at all.,880-889 Adverb
方法,ほうほう,"method, procedure",いい方法を思いつきました。,We hit on a good method.,880-889 Noun
法律,ほうりつ,law,新しい法律ができた。,A new law has been passed.,880-889 Noun
規則,きそく,"rule, regulation",あの会社の規則は厳しいです。,That company's rules are strict.,890-899 Noun
オートバイ,オートバイ,"motorbike, motorcycle",彼はオートバイに乗っている。,He rides a motorcycle.,890-899 Noun
経験,けいけん,experience,今日の試合はいい経験になりました。,Today's game was a good experience.,890-899 Verbal Noun
経つ,たつ,"pass, elapse",あれから14年が経ちました。,Fourteen years have passed since then.,890-899 Verb
経済,けいざい,"economy, economics",大学で経済を勉強しました。,I studied economics in college.,890-899 Noun
経営,けいえい,"management, operation",我が社の経営はうまくいっています。,Our company is well managed.,890-899 Verbal Noun
ひどい,ひどい,"cruel, severe",妹とひどい喧嘩をした。,I had an awful fight with my little sister.,890-899 Adjective
株,かぶ,"stocks, shares",最近株を始めました。,I recently started investing in stocks.,890-899 Noun
企業,きぎょう,"corporation, business",彼女はアメリカの企業で働いています。,She works in an American company.,890-899 Noun
作業,さぎょう,"work, operation",作業するにはもっと広いスペースが必要だ。,I need a bigger space to work.,890-899 Verbal Noun
産業,さんぎょう,industry,日本の自動車産業は世界的に有名だ。,The Japanese auto industry is famous worldwide.,900-909 Noun
あなた,あなた,you,この本、あなたにあげます。,I'll give you this book.,900-909 Noun
工業,こうぎょう,(manufacturing) industry,そこは工業都市だ。,That's an industrial city.,900-909 Noun
商業,しょうぎょう,"commerce, trade",この町では商業が盛んだ。,Business is thriving in this city.,900-909 Noun
利用,りよう,"utilization, usage",私はよく図書館を利用します。,I often use the library.,900-909 Verbal Noun
便利,べんり,"convenience, handiness",インターネットはとても便利です。,The Internet is very convenient.,900-909 Adjectival Noun
スイッチ,スイッチ,switch,彼はカーラジオのスイッチを入れた。,He hit the switch on his car radio.,900-909 Noun
技術,ぎじゅつ,"skill, technology",彼は非常に高い技術を持っている。,He has very advanced skills.,900-909 Noun
手術,しゅじゅつ,surgical operation,父は胸の手術をした。,My father had a chest operation.,900-909 Verbal Noun
製造,せいぞう,"production, manufacture",この工場ではエアコンを製造しています。,This factory manufactures air conditioning units.,900-909 Verbal Noun
必ず,かならず,"without fail, certainly",必ずシートベルトを着けて下さい。,Always wear your seat belt.,910-919 Adverb
プレゼント,プレゼント,"present, gift",誕生日にプレゼントをもらいました。,I got some presents on my birthday.,910-919 Verbal Noun
必要,ひつよう,"need, necessity",私にはたくさんのお金が必要だ。,I need a lot of money.,910-919 Adjectival Noun
重要,じゅうよう,"important, essential",これは重要な書類です。,This is an important document.,910-919 Adjectival Noun
要求,ようきゅう,"demand, requirement",彼は私の要求にこたえた。,He answered my demands.,910-919 Verbal Noun
目覚まし時計,めざましどけい,alarm clock,7時に目覚まし時計が鳴りました。,The alarm clock went off at seven o'clock.,910-919 Noun
いつでも,いつでも,at any time; always,いつでもうちに来てください。,Please come to my house any time.,910-919 Adverb
計算,けいさん,calculation,その計算は間違っている。,That calculation is wrong.,910-919 Verbal Noun
引き算,ひきざん,subtraction,娘は学校で引き算を習っている。,My daughter's learning subtraction at school.,910-919 Verbal Noun
足し算,たしざん,addition,娘は学校で足し算を習った。,My daughter learned addition in school.,910-919 Verbal Noun
交差点,こうさてん,"crossing, intersection",次の交差点を左に曲がってください。,Please turn left at the next intersection.,920-929 Noun
テニス,テニス,tennis,彼らはよくテニスをしています。,They often play tennis.,920-929 Verbal Noun
割る,わる,"divide, crack, split",皿を落として割った。,I dropped the plate and broke it.,920-929 Verb
