Kanji,Reading,Definition,Sentence,Translation,tags
会う,あう,meet,また会いましょう。,Let's meet again.,160-169 Verb
仕事,しごと,"work, job",3月は仕事が忙しい。,I have a lot of work in March.,160-169 Noun
場合,ばあい,"situation, case",分からない場合は私に聞いてください。,Please ask me if you don't understand.,160-169 Noun
車,くるま,"car, automobile",弟が車を買った。,My younger brother bought a car.,160-169 Noun
電車,でんしゃ,train,私は電車で通学しています。,I go to school by train.,160-169 Noun
駅,えき,railway station,駅はどこですか。,Where's the station?,160-169 Noun
道,みち,"road, street",この道を真っ直ぐ行くと駅です。,Go straight along this road to get to the station.,160-169 Noun
他,ほか,other,他に方法がありません。,There's no other way.,160-169 Noun
止める,やめる,"stop, give up, abolish",話すのを止めてください。,"Stop talking, please.",160-169 Verb
ここ,ここ,here,ここに本があります。,There's a book here.,170-179 Pronoun
歩く,あるく,"walk, go on foot",駅まで歩きましょう。,Let's walk to the station.,170-179 Verb
走る,はしる,run,彼は毎晩3キロ走っています。,Every night he runs three kilometers.,170-179 Verb
近く,ちかく,"near, close to",駅の近くで食事をした。,I ate near the station.,170-179 Adverb
近い,ちかい,"near, soon",駅はここから近いです。,The station is near here.,170-179 Adjective
近く,ちかく,"vicinity, nearby",私の家は駅の近くです。,My house is near the station.,170-179 Noun
遠い,とおい,"far, distant",家から学校までは遠いです。,It's a long way from my house to the school.,170-179 Adjective
長い,ながい,long,彼女の髪はとても長い。,Her hair is very long.,170-179 Adjective
短い,みじかい,"short, brief",彼は足が短い。,His legs are short.,170-179 Adjective
広い,ひろい,"wide, big",彼の家はとても広い。,His house is very big.,170-179 Adjective
もらう,もらう,receive,彼女からプレゼントをもらいました。,I got a present from her.,180-189 Verb
全部,ぜんぶ,"all, wholly",それ、全部ください。,"I'd like all of those, please.",180-189 Adverb
国,くに,country,私の国について少しお話しましょう。,Let me tell you a bit about my country.,180-189 Noun
白い,しろい,"white, blank",彼は歯が白い。,His teeth are white.,180-189 Adjective
赤い,あかい,red,赤いバラを買いました。,I bought a red rose.,180-189 Adjective
部屋,へや,room,私の部屋は2階にあります。,My room is on the second floor.,180-189 Noun
米,こめ,rice (grain),日本人はお米が大好きです。,Japanese people love rice.,180-189 Noun
未だ,まだ,"yet, more",宿題は未だ終わっていません。,I haven't finished my homework yet.,180-189 Adverb
有る,ある,"exist, possess",私の机の上に書類がたくさん有ります。,There are a lot of documents on my desk.,180-189 Verb
無い,ない,to not be,ここには何も無い。,There's nothing here.,180-189 Adjective
とても,とても,very,この本はとてもおもしろい。,This book is very interesting.,190-199 Adverb
作る,つくる,"make, create",今、朝ご飯を作っています。,I'm making breakfast now.,190-199 Verb
使う,つかう,use,このパソコンを使ってください。,Please use this computer.,190-199 Verb
消す,けす,"switch off, turn off",昼間は電気を消してください。,Please turn the lights off during the day.,190-199 Verb
売る,うる,sell,彼は家を売った。,He sold the house.,190-199 Verb
店,みせ,"shop, store",私はこの店によく来ます。,I come to this store quite often.,190-199 Noun
春,はる,spring,今年の春は暖かいね。,"It's warm this spring, isn't it.",190-199 Noun
夏,なつ,summer,私は夏が大好き。,I just love summer.,190-199 Noun
秋,あき,"autumn, fall",彼女は秋に結婚します。,She'll get married this fall.,190-199 Noun
冬,ふゆ,winter,カナダの冬はとても寒いです。,Canada's winters are very cold.,190-199 Noun
みんな,みんな,"all, everybody",みんなにお菓子をあげましょう。,Let's give everyone some sweets.,200-209 Noun
暑い,あつい,"hot, warm (temperature of the air)",今日はとても暑い。,It's very hot today.,200-209 Adjective
熱い,あつい,"hot (things, touch)",このスープはとても熱い。,This soup is very hot.,200-209 Adjective
寒い,さむい,cold (temperature of the air),この部屋は寒いです。,It's cold in this room.,200-209 Adjective
暖かい,あたたかい,warm,このコートはとても暖かい。,This coat is really warm.,200-209 Adjective
新しい,あたらしい,new,彼の車は新しい。,His car is new.,200-209 Adjective
古い,ふるい,old,私は古い車が好きです。,I like old cars.,200-209 Adjective
良い,いい,good,彼女は良い友達です。,She's a good friend.,200-209 Adjective
悪い,わるい,bad,たばこは体に悪い。,Cigarettes are bad for your health.,200-209 Adjective
思う,おもう,think,私もそう思います。,I think so too.,200-209 Verb
いつも,いつも,always,彼女はいつも元気だ。,She's always full of energy.,210-219 Adverb
忘れる,わすれる,"forget, leave behind",約束を忘れないでください。,Please don't forget your promise.,210-219 Verb
考える,かんがえる,"think, consider",よく考えてください。,Please think carefully.,210-219 Verb
決める,きめる,"decide, agree upon",帰国することに決めました。,I've decided to go back to my country.,210-219 Verb
決まる,きまる,be decided,旅行の日程が決まりました。,I've decided on my travel schedule.,210-219 Verb
知る,しる,know,誰もその話を知らない。,No one knows that story.,210-219 Verb
一番,いちばん,most,彼はクラスで一番背が高い。,He's the tallest in class.,210-219 Adverb
住む,すむ,"live, reside",彼は会社の近くに住んでいる。,He lives near his office.,210-219 Verb
名前,なまえ,name,あなたの名前を教えてください。,Please tell me your name.,210-219 Noun
食べ物,たべもの,food,日本の食べ物はとても美味しいです。,Japanese food is very delicious.,210-219 Noun
いつ,いつ,when,彼女はいつ来ますか。,When is she coming?,220-229 Noun
飲み物,のみもの,"beverage, drink",何か飲み物が欲しいな。,I could really use something to drink.,220-229 Noun
重い,おもい,heavy,このかばんは重いです。,This bag is heavy.,220-229 Adjective
軽い,かるい,"light, light weight",この靴はとても軽い。,These shoes are very light.,220-229 Adjective
送る,おくる,send,彼の家に荷物を送りました。,I sent a package to his house.,220-229 Verb
取る,とる,"take, get",テストでいい点を取った。,I got a good grade on the test.,220-229 Verb
待つ,まつ,"wait, wait for",あなたが来るのを待っています。,I am waiting for you to come.,220-229 Verb
持つ,もつ,"have, possess",私は車を持っています。,I have a car.,220-229 Verb
気持ち,きもち,"feeling, sensation",彼の気持ちが分からない。,I don't understand his feelings.,220-229 Noun
生きる,いきる,live (one's life),皆一生懸命生きている。,They're all living their lives the best way that they can.,220-229 Verb
どちら,どちら,which,肉と魚とどちらが好きですか。,"Which do you prefer, meat or fish?",230-239 Noun
先生,せんせい,teacher,私は日本語の先生になりたいです。,I want to become a Japanese teacher.,230-239 Noun
大学,だいがく,"university, college",大学に行ってもっと勉強したいです。,I want to go to college and study more.,230-239 Noun
学生,がくせい,student,彼は真面目な学生です。,He's a serious student.,230-239 Noun
大学生,だいがくせい,university student,姉は大学生です。,My big sister's a college student.,230-239 Noun
学校,がっこう,school,学校は8時半に始まります。,School starts at 8:30.,230-239 Noun
高校生,こうこうせい,high school student,私の弟は高校生です。,My little brother's a high school student.,230-239 Noun
教える,おしえる,"teach, tell",彼は数学を教えています。,He teaches mathematics.,230-239 Verb
勉強,べんきょう,study,私は日本語を勉強しています。,I'm studying Japanese.,230-239 Verbal Noun
強い,つよい,strong,今日は風が強い。,There's a strong wind today.,230-239 Adjective
どれ,どれ,"what, which",この中でどれが好きですか。,Which of these do you like?,240-249 Noun
弱い,よわい,weak,その子は体が少し弱い。,That child has a somewhat weak constitution.,240-249 Adjective
引く,ひく,"draw, pull",このドアは引いてください。,Please pull this door open.,240-249 Verb
質問,しつもん,question,質問のある方はどうぞ。,Please feel free to ask any questions.,240-249 Verbal Noun
難しい,むずかしい,difficult,この本は難しいですね。,This book is difficult.,240-249 Adjective
数,かず,number,グラスの数が足りません。,There are not enough glasses.,240-249 Noun
勝つ,かつ,win,今日はヤンキースが勝った。,The Yankees won today.,240-249 Verb
負ける,まける,lose,私たちのチームはその試合で負けた。,Our team lost the game.,240-249 Verb
本当に,ほんとうに,"really, truly",あなたが本当に好きです。,I really like you.,240-249 Adverb
要る,いる,"need, require",予約は要りません。,Reservations are not required.,240-249 Verb
ドア,ドア,door,ドアを開けてください。,Please open the door.,250-259 Noun
時計,とけい,"clock, watch",時計を見たらちょうど3時だった。,I looked at the clock and it was exactly three.,250-259 Noun
払う,はらう,pay,私が払いましょう。,Let me pay for that.,250-259 Verb
切る,きる,cut,この紙を半分に切ってください。,Please cut this paper in half.,250-259 Verb
変える,かえる,change,旅行の日程を変えました。,I changed our travel schedule.,250-259 Verb
乗る,のる,"ride, take",駅からはタクシーに乗ってください。,Please take a taxi from the station.,250-259 Verb
着る,きる,"wear, put on",今日はスーツを着ています。,I'm wearing a suit today.,250-259 Verb
